portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
Veocasas,alquiler,https://veocasas.com/properties/cmpz5bki8010z2498q6xbs17i,Apartamento de 1 dormitorio con balcón,Apartamento,,UYU,27800,3900,1,1,45.0
Veocasas,alquiler,https://veocasas.com/properties/cmordzht82061709q57mb62sq,apartamento 1 dormitorio tres cruces,Apartamento,Tres Cruces,UYU,25000,4500,1,1,54.0
Veocasas,alquiler,https://veocasas.com/properties/cmob4tuit00z0dfl1tvvqh3uq,Apartamento de 1 dormitorio en alquiler con garaje,Apartamento,,UYU,28000,5000,1,1,55.0
Veocasas,alquiler,https://veocasas.com/properties/cmr9hr3hn04o12h22pixtfl04,Apartamento de 1 dormitorio en piso alto Edificio Flip.,Apartamento,,UYU,27500,3500,1,1,
Veocasas,alquiler,https://veocasas.com/properties/cmq5dao3601ekmjkobk6b4p9p,Alquiler Monoambiente en Punta Carretas.,Apartamento,Punta Carretas,UYU,22500,3000,0,1,
Veocasas,alquiler,https://veocasas.com/properties/cmob4tuke00zadfl162puu1g4,Moderno apartamento en alquiler de 1 dormitorio con amenities en Cordón,Apartamento,Cordón,UYU,30800,5000,1,1,55.0
Veocasas,alquiler,https://veocasas.com/properties/cmpca9x0w00ai59v504vq8xdc,Hermoso apartamento a pasos Tres Cruces y Parque Batlle,Apartamento,Parque Batlle,UYU,27000,10000,2,2,64.0
Veocasas,alquiler,https://veocasas.com/properties/cmqdfqh9u3j79erhdqge4kf0h,Alquiler de oficina a pasos de Plaza Matríz,Oficina,,UYU,10000,1791,,,25.0
Veocasas,alquiler,https://veocasas.com/properties/cmpz5bkgp010p2498dmnja3t9,Apartamento de 1 dormitorio amoblado en Pocitos,Apartamento,Pocitos,USD,1090,8800,2,2,65.0
Veocasas,alquiler,https://veocasas.com/properties/cmgkw81oc0z6zsi7sc3a01kxd,Apartamento de 2 dormitorios en alquiler la Blanqueada con amenities,Apartamento,La Blanqueada,UYU,36000,5500,2,1,65.0
Veocasas,alquiler,https://veocasas.com/properties/cmr27iea708og18umq6yn6il3,Alquiler De Loft  Al Frente Con Balcón y Garage. Pocitos Nuevo,Garage,Pocitos Nuevo,UYU,32000,4000,0,1,
Veocasas,alquiler,https://veocasas.com/properties/cmr27iduq08oa18um4kzovlvr,"Alquiler De Apartamento 2 Dormitorios, Amoblado Con Garage, Piso Alto. Edificio JOY Montevideo!",Apartamento,,USD,2500,20000,2,2,
Veocasas,alquiler,https://veocasas.com/properties/cmr27iczb08ny18umox2t88j5,"Alquiler De Apartamento Amueblado, 2 Dormitorios 2  Baños y Garage, JOY Montevideo",Apartamento,,USD,2500,20000,2,2,
Veocasas,alquiler,https://veocasas.com/properties/cmr27ibvk08nj18um8fps86n2,"Venta Apartamento en Edificio JOY Montevideo, 3 Dormitorios, 3 Baños, Terraza Y Garage",Apartamento,,USD,2500,29000,3,3,
Veocasas,alquiler,https://veocasas.com/properties/cmp48k5oy3yz8cmqtx17od1wo,ALQUILER APARTAMENTO 2 DORMITORIOS CON GARAJE EN BE PARK LIFE – FRENTE AL PARQUE RIVERA,Apartamento,,UYU,36000,7500,2,1,
Veocasas,alquiler,https://veocasas.com/properties/cmpwafy9f01z8dzh44rigg1wp,Alquiler de monoambiente en La Blanqueada,Apartamento,La Blanqueada,UYU,21300,4000,0,1,35.0
Veocasas,alquiler,https://veocasas.com/properties/cmpwafy8p01z3dzh435gk3ife,Apartamento de 1 dormitorio en alquiler la blanqueada,Apartamento,La Blanqueada,UYU,29000,4500,1,1,45.0
Veocasas,alquiler,https://veocasas.com/properties/cmqr1ucps03fwwqcifg76lwfs,Apartamento amoblado un dormitorio,Apartamento,,UYU,25000,5800,1,1,38.0
Veocasas,alquiler,https://veocasas.com/properties/cmkgj8h9800c0ki1kf280ihav,Alquiler de apartamento de 1 dormitorio en el Centro en Alma Brava con cochera opcional,Apartamento,Centro,UYU,27000,8204,1,,50.0
Veocasas,alquiler,https://veocasas.com/properties/cmppxzssd237wx4sttmotcsq4,IMPONENTE LOCAL COMERCIAL  A ESTRENAR,Local Comercial,,UYU,390000,,,,
Veocasas,alquiler,https://veocasas.com/properties/cmo04jlir03bu23vytob1aj83,Apartamento 1 dormitorio en La Teja,Apartamento,La Teja,UYU,18000,1300,1,1,50.0
Veocasas,alquiler,https://veocasas.com/properties/cmol4wr6901ngq3izoycb3tre,Casa con destino oficina en alquiler en muy buena zona de Buceo con cocheras,Casa,Buceo,UYU,170000,,,,538.0
Veocasas,alquiler,https://veocasas.com/properties/cmohanz0945q37meq7pwj4620,Alquilo apartamento 1 dormitorio en Cordon Sur,Apartamento,Cordón Sur,UYU,28000,,1,1,1.0
Veocasas,alquiler,https://veocasas.com/properties/cmoc2ex7j3uf3g2r1lm3odzph,"Alquiler apartamento 1 dormitorio con terraza en Tres Cruces, Montevideo",Apartamento,Tres Cruces,UYU,30500,4000,1,1,42.0
