portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
InfoCasas,venta,https://www.infocasas.com.uy/residencia-impecable-lista-para-habitar-con-garage-y-patio-privado/193982347,"Residencia Impecable: Lista para Habitar, con Garage y Patio Privado.",Casa,Perez Castellanos,USD,163000,,3,2,142
InfoCasas,venta,https://www.infocasas.com.uy/venta-de-apartamento-3-dormitorios-en-parque-rodo-montevideo/193967859,"Venta de Apartamento 3 Dormitorios en Parque Rodó, Montevideo",Apartamento,Parque Rodó,USD,270000,15000,3,2,94
InfoCasas,venta,https://www.infocasas.com.uy/venta-de-muy-linda-casa-en-atahualpa-2-dormitorios-garage/193975242,Venta de muy linda casa en Atahualpa. 2 dormitorios. Garage,Casa,Atahualpa,USD,139000,,2,1,63
InfoCasas,venta,https://www.infocasas.com.uy/venta-casa-dos-dormitorios-jacinto-vera/193768640,VENTA CASA DOS DORMITORIOS JACINTO VERA,Casa,Jacinto Vera,USD,76000,,2,1,38
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-pocitos-nuevo-2-dormitorios-garage/193735914,Venta Apartamento Pocitos Nuevo 2 dormitorios Garage,Apartamento,Pocitos Nuevo,USD,305000,11572,2,2,71
InfoCasas,venta,https://www.infocasas.com.uy/vendo-apartamento-de-1-dormitorio-en-pocitos-a-estrenar-amplias-dimensiones/193554029,"Vendo apartamento de 1 dormitorio en Pocitos, A ESTRENAR!! Amplias dimensiones",Apartamento,Pocitos,USD,215000,5500,1,1,58
InfoCasas,venta,https://www.infocasas.com.uy/apartamento-en-buceo-a-2-cuadras-de-la-rambla-admite-banco/193958646,Apartamento en Buceo a 2 cuadras de la Rambla! Admite banco!,Apartamento,Buceo,USD,144000,4700,3,1,62
InfoCasas,venta,https://www.infocasas.com.uy/oportunidad-de-inversion-2-dorm-con-renta-activa-en-malvin/193979231,Oportunidad de inversión 2 dorm con renta activa en Malvín.,Apartamento,Malvín,USD,98000,,2,1,63
InfoCasas,venta,https://www.infocasas.com.uy/oficina-en-venta-en-ciudad-vieja/193569097,Oficina en venta en Ciudad Vieja,Oficina,Ciudad Vieja,USD,81000,,,2,61
InfoCasas,venta,https://www.infocasas.com.uy/proyectos/flow-by-nostrum-apartamentos-2-dormitorios-en-tres-cruces/15018360,Apartamento en Venta,Proyecto,Tres Cruces,USD,176237,,2,1,58.33
InfoCasas,venta,https://www.infocasas.com.uy/proyectos/nostrum-central-apartamentos-de-2-dormitorios-en-el-centro/15018357,Apartamento en Venta,Proyecto,Centro,USD,160967,,2,1,64.57
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-3-dormitorios/193598459,Venta apartamento 3 dormitorios,Apartamento,Centro,USD,156000,15000,3,2,122
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-1-dormitorio-unidad-1008a-nordico/193421543,Venta - Apartamento 1 dormitorio - Unidad 1008A - Nórdico,Apartamento,La Blanqueada,USD,161900,,1,1,42
InfoCasas,venta,https://www.infocasas.com.uy/casa-venta-prado-3-dormitorios-fdo-con-piscina-y-parrillero-gge-x-2/193714128,CASA VENTA PRADO 3 DORMITORIOS + FDO CON PISCINA Y PARRILLERO + GGE X 2,Casa,Prado,USD,370000,,3,3,184
InfoCasas,venta,https://www.infocasas.com.uy/oficina-sosa-ramos-esquina-perez-gomar-casa-amplia-excelente-cosntruccion-lindo-fondo-con-barbacoa-muy-bien-ubicada-con-garajes/193843472,Oficina Sosa - Ramos esquina Perez Gomar casa amplia excelente cosntrucción lindo fondo con barbacoa muy bien ubicada con garajes,Casa,Malvín,USD,365000,,3,2,215
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-1-dormitorio-con-terraza-y-parrillero-en-malvin/193495030,Venta Apartamento 1 Dormitorio con terraza y parrillero en Malvín,Apartamento,Malvín,USD,156400,,1,1,49
InfoCasas,venta,https://www.infocasas.com.uy/casablanca-chalet-unico-en-amplio-terreno-en-el-corazon-de-colon/192727892,CASABLANCA - Chalet único en amplio terreno en el corazón de Colón,Casa,Colón,USD,280000,,4,2,188
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-2-dormitorios-more-pocitos-pozo/193125133,Venta Apartamento 2 dormitorios More Pocitos Pozo,Proyecto,Pocitos,USD,232000,,2,2,78
